scope,train_dataset,test_dataset,embedding,clf,subsample_id,matched_gene_count,gene_hash,auroc,auprc
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,5,848/937,893fb32c2958-9b4c6299ecad,0.5407426588210131,0.3693244504281771
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,5,848/937,893fb32c2958-9b4c6299ecad,0.5314534736310327,0.38044189137268214
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,6,848/937,893fb32c2958-9b4c6299ecad,0.5367306117255138,0.36785513317936
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,6,848/937,893fb32c2958-9b4c6299ecad,0.5229239624675411,0.36908865075572406
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,7,848/937,893fb32c2958-9b4c6299ecad,0.5394224794283246,0.37227194083315096
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,7,848/937,893fb32c2958-9b4c6299ecad,0.5277603997589565,0.3668288357869215
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,8,848/937,893fb32c2958-9b4c6299ecad,0.5378082625609313,0.3652279736271884
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,8,848/937,893fb32c2958-9b4c6299ecad,0.5383488205974742,0.38180879132563916
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,9,848/937,893fb32c2958-9b4c6299ecad,0.534365136408827,0.3631900801783194
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,9,848/937,893fb32c2958-9b4c6299ecad,0.520711827090987,0.37487850335625117
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,10,848/937,893fb32c2958-9b4c6299ecad,0.5294426584084849,0.3632019725227438
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,10,848/937,893fb32c2958-9b4c6299ecad,0.5251065417784857,0.36765235285460013
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,11,848/937,893fb32c2958-9b4c6299ecad,0.5378704464412929,0.37007210060758844
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,11,848/937,893fb32c2958-9b4c6299ecad,0.5294525083148252,0.37293593234194505
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,12,848/937,893fb32c2958-9b4c6299ecad,0.5451524593508899,0.3729056829614483
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,12,848/937,893fb32c2958-9b4c6299ecad,0.5406663664730005,0.3817262985618938
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,13,848/937,893fb32c2958-9b4c6299ecad,0.5358667140122216,0.3665492156551082
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,13,848/937,893fb32c2958-9b4c6299ecad,0.5467190450668121,0.38785227100928177
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,14,848/937,893fb32c2958-9b4c6299ecad,0.5410393999426902,0.37254509945555164
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,14,848/937,893fb32c2958-9b4c6299ecad,0.5167842023241844,0.36515723507676573
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,15,848/937,893fb32c2958-9b4c6299ecad,0.5382512798690318,0.37109338107711726
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,15,848/937,893fb32c2958-9b4c6299ecad,0.5470461546175085,0.38497044301982264
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,16,848/937,893fb32c2958-9b4c6299ecad,0.5413009048014802,0.37532574497950144
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,16,848/937,893fb32c2958-9b4c6299ecad,0.5158202125536168,0.3749864128050121
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,17,848/937,893fb32c2958-9b4c6299ecad,0.534675890799318,0.36531568647032964
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,17,848/937,893fb32c2958-9b4c6299ecad,0.5297149080426834,0.3792109721739923
