dataset,context,embedding,method,setting_group,n_pert_genes,target_dim,pearson_r,pearson_r_std,mse,mse_std,sign_acc,sign_acc_std,n_folds
norman,dataset::all,baseline,frozen_linear,frozen_probe,100,256,0.0989112563058734,0.07923752468791785,1.598634386062622,0.3759541128340626,0.53515625,0.03347385034958725,5
norman,dataset::all,baseline,frozen_mlp,frozen_probe,100,256,0.09609101423062383,0.04856316724789373,1.4309160470962525,0.38625870773677956,0.5377734375,0.023262563284942146,5
norman,dataset::all,baseline,frozen_backbone_trainable_head,finetune,100,256,0.12806898307055237,0.08758405077723953,1.2053653001785278,0.3790754024243781,0.5481640625,0.041288637503725654,5
norman,dataset::all,scGPT_human,frozen_linear,frozen_probe,100,256,0.09751179912127554,0.06381336111162321,1.2647858023643495,0.46084172290289604,0.538984375,0.023056340746805685,5
norman,dataset::all,scGPT_human,frozen_mlp,frozen_probe,100,256,0.053111576847732066,0.06421280616553537,1.436004114151001,0.4711118920290655,0.52234375,0.02749583819715381,5
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,finetune,100,256,0.07215968426316977,0.04497109180545543,1.1855419635772706,0.4489002477720961,0.5242578124999999,0.017419159681897316,5
norman,dataset::all,v4_bias_rec_best,frozen_linear,frozen_probe,100,256,0.05536549551412463,0.04974304774391067,1.9956491708755493,0.37874846803171114,0.5246875,0.022261375691009083,5
norman,dataset::all,v4_bias_rec_best,frozen_mlp,frozen_probe,100,256,0.07184208247810601,0.0349903991109787,1.601567769050598,0.4689687828482063,0.529921875,0.014219179251762411,5
norman,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,finetune,100,256,0.10837110659107566,0.015978456046146363,1.2902016401290894,0.41063917876939526,0.546796875,0.006087486765257687,5
norman,dataset::all,v4_plain_best,frozen_linear,frozen_probe,100,256,0.08174005888868123,0.026398292281141607,1.6249351978302002,0.43634395324907566,0.5299609375000001,0.016565724184998302,5
norman,dataset::all,v4_plain_best,frozen_mlp,frozen_probe,100,256,0.07092577639967204,0.03626210509690479,1.5102252244949341,0.4627847053529918,0.5291015625,0.023704533474138707,5
norman,dataset::all,v4_plain_best,frozen_backbone_trainable_head,finetune,100,256,0.09638720371760427,0.03619154918398587,1.2582491397857667,0.44126386403439727,0.5346875,0.025069970442119605,5
norman,dataset::all,v4_type_pe_best,frozen_linear,frozen_probe,100,256,0.03941615518182516,0.0655393701241275,1.798466682434082,0.520959027987608,0.51359375,0.030426804059470937,5
norman,dataset::all,v4_type_pe_best,frozen_mlp,frozen_probe,100,256,0.044830811796709905,0.05959097065650387,1.5715998649597167,0.453253455259049,0.51625,0.028021837710469216,5
norman,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,finetune,100,256,0.07976052859798075,0.07849444889851673,1.3079366564750672,0.46216566355326394,0.527109375,0.034538275232771656,5
