train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,mDC,coverage_matched,scGPT_human,lr,2,4819,573,593,0.736536,0.728502
hESC,mDC,coverage_matched,scGPT_human,lr,3,4819,573,593,0.689240,0.672411
hESC,mDC,coverage_matched,scGPT_human,lr,4,4819,573,593,0.680622,0.682554
hESC,mDC,coverage_matched,scGPT_human,mlp,0,4819,573,593,0.567378,0.591969
hESC,mDC,coverage_matched,scGPT_human,mlp,1,4819,573,593,0.681491,0.677231
hESC,mDC,coverage_matched,scGPT_human,mlp,2,4819,573,593,0.686577,0.694061
hESC,mDC,coverage_matched,scGPT_human,mlp,3,4819,573,593,0.629566,0.648574
hESC,mDC,coverage_matched,scGPT_human,mlp,4,4819,573,593,0.707836,0.737042
hESC,mHSC-E,native,minus,lr,0,3895,4009,1053,0.559472,0.571326
hESC,mHSC-E,native,minus,lr,1,3895,4009,1053,0.523029,0.545646
hESC,mHSC-E,native,minus,lr,2,3895,4009,1053,0.564108,0.576241
hESC,mHSC-E,native,minus,lr,3,3895,4009,1053,0.613799,0.614054
hESC,mHSC-E,native,minus,lr,4,3895,4009,1053,0.571407,0.577414
hESC,mHSC-E,native,minus,mlp,0,3895,4009,1053,0.599206,0.613928
hESC,mHSC-E,native,minus,mlp,1,3895,4009,1053,0.586638,0.597528
hESC,mHSC-E,native,minus,mlp,2,3895,4009,1053,0.580962,0.594999
hESC,mHSC-E,native,minus,mlp,3,3895,4009,1053,0.589297,0.590501
hESC,mHSC-E,native,minus,mlp,4,3895,4009,1053,0.577470,0.599865
hESC,mHSC-E,native,baseline,lr,0,3895,4009,1053,0.510268,0.527279
hESC,mHSC-E,native,baseline,lr,1,3895,4009,1053,0.549471,0.550418
hESC,mHSC-E,native,baseline,lr,2,3895,4009,1053,0.532925,0.530468
hESC,mHSC-E,native,baseline,lr,3,3895,4009,1053,0.555687,0.557588
hESC,mHSC-E,native,baseline,lr,4,3895,4009,1053,0.531208,0.531441
hESC,mHSC-E,native,baseline,mlp,0,3895,4009,1053,0.540405,0.544964
hESC,mHSC-E,native,baseline,mlp,1,3895,4009,1053,0.566345,0.565754
hESC,mHSC-E,native,baseline,mlp,2,3895,4009,1053,0.567303,0.559753
hESC,mHSC-E,native,baseline,mlp,3,3895,4009,1053,0.568008,0.567067
hESC,mHSC-E,native,baseline,mlp,4,3895,4009,1053,0.570321,0.553182
hESC,mHSC-E,native,scGPT_human,lr,0,3895,4009,1053,0.626575,0.633279
hESC,mHSC-E,native,scGPT_human,lr,1,3895,4009,1053,0.613659,0.631277
hESC,mHSC-E,native,scGPT_human,lr,2,3895,4009,1053,0.608023,0.613616
hESC,mHSC-E,native,scGPT_human,lr,3,3895,4009,1053,0.617451,0.625214
hESC,mHSC-E,native,scGPT_human,lr,4,3895,4009,1053,0.610307,0.619593
hESC,mHSC-E,native,scGPT_human,mlp,0,3895,4009,1053,0.580481,0.587389
hESC,mHSC-E,native,scGPT_human,mlp,1,3895,4009,1053,0.609614,0.620897
hESC,mHSC-E,native,scGPT_human,mlp,2,3895,4009,1053,0.592149,0.600097
hESC,mHSC-E,native,scGPT_human,mlp,3,3895,4009,1053,0.627257,0.630669
hESC,mHSC-E,native,scGPT_human,mlp,4,3895,4009,1053,0.565295,0.569131
hESC,mHSC-E,strict,minus,lr,0,2795,415,540,0.544347,0.577188
hESC,mHSC-E,strict,minus,lr,1,2795,415,540,0.584674,0.599501
hESC,mHSC-E,strict,minus,lr,2,2795,415,540,0.574781,0.592757
hESC,mHSC-E,strict,minus,lr,3,2795,415,540,0.512799,0.546480
hESC,mHSC-E,strict,minus,lr,4,2795,415,540,0.574122,0.574228
hESC,mHSC-E,strict,minus,mlp,0,2795,415,540,0.452644,0.518641
hESC,mHSC-E,strict,minus,mlp,1,2795,415,540,0.549595,0.560966
hESC,mHSC-E,strict,minus,mlp,2,2795,415,540,0.479149,0.507136
hESC,mHSC-E,strict,minus,mlp,3,2795,415,540,0.535608,0.552870
hESC,mHSC-E,strict,minus,mlp,4,2795,415,540,0.432432,0.491874
hESC,mHSC-E,strict,baseline,lr,0,2795,415,540,0.495651,0.571071
hESC,mHSC-E,strict,baseline,lr,1,2795,415,540,0.511246,0.603737
hESC,mHSC-E,strict,baseline,lr,2,2795,415,540,0.525784,0.613882
hESC,mHSC-E,strict,baseline,lr,3,2795,415,540,0.504898,0.574917
hESC,mHSC-E,strict,baseline,lr,4,2795,415,540,0.515465,0.589955
hESC,mHSC-E,strict,baseline,mlp,0,2795,415,540,0.479520,0.550597
hESC,mHSC-E,strict,baseline,mlp,1,2795,415,540,0.494854,0.557288
hESC,mHSC-E,strict,baseline,mlp,2,2795,415,540,0.492491,0.545389
hESC,mHSC-E,strict,baseline,mlp,3,2795,415,540,0.494456,0.550305
hESC,mHSC-E,strict,baseline,mlp,4,2795,415,540,0.431526,0.504731
hESC,mHSC-E,strict,scGPT_human,lr,0,2795,415,540,0.525962,0.580523
hESC,mHSC-E,strict,scGPT_human,lr,1,2795,415,540,0.503318,0.559715
hESC,mHSC-E,strict,scGPT_human,lr,2,2795,415,540,0.515066,0.593557
hESC,mHSC-E,strict,scGPT_human,lr,3,2795,415,540,0.529617,0.585868
hESC,mHSC-E,strict,scGPT_human,lr,4,2795,415,540,0.562484,0.606331
hESC,mHSC-E,strict,scGPT_human,mlp,0,2795,415,540,0.453881,0.506235
hESC,mHSC-E,strict,scGPT_human,mlp,1,2795,415,540,0.505159,0.564514
hESC,mHSC-E,strict,scGPT_human,mlp,2,2795,415,540,0.456615,0.513997
hESC,mHSC-E,strict,scGPT_human,mlp,3,2795,415,540,0.482763,0.537876
hESC,mHSC-E,strict,scGPT_human,mlp,4,2795,415,540,0.411218,0.479427
hESC,mHSC-E,coverage_matched,minus,lr,0,2845,171,496,0.381033,0.400428
hESC,mHSC-E,coverage_matched,minus,lr,1,2845,171,496,0.437450,0.426138
hESC,mHSC-E,coverage_matched,minus,lr,2,2845,171,496,0.478932,0.449047
hESC,mHSC-E,coverage_matched,minus,lr,3,2845,171,496,0.422056,0.417049
hESC,mHSC-E,coverage_matched,minus,lr,4,2845,171,496,0.406384,0.418231
hESC,mHSC-E,coverage_matched,minus,mlp,0,2845,171,496,0.434207,0.431048
hESC,mHSC-E,coverage_matched,minus,mlp,1,2845,171,496,0.494915,0.467631
hESC,mHSC-E,coverage_matched,minus,mlp,2,2845,171,496,0.419632,0.403563
hESC,mHSC-E,coverage_matched,minus,mlp,3,2845,171,496,0.435910,0.425644
hESC,mHSC-E,coverage_matched,minus,mlp,4,2845,171,496,0.417438,0.429519
