train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hHep,mDC,coverage_matched,minus,lr,0.7379209999999999,0.04760168037790261,0.759499,0.043192940085157436,5
hHep,mDC,coverage_matched,minus,mlp,0.780486,0.036650288724647186,0.7996118,0.032642353980067054,5
hHep,mDC,coverage_matched,scGPT_human,lr,0.672251,0.03775729312331591,0.7014258,0.03329691946351796,5
hHep,mDC,coverage_matched,scGPT_human,mlp,0.7155094,0.03859962352458892,0.754065,0.03963012936138362,5
hHep,mDC,native,baseline,lr,0.5898142,0.07696413625423208,0.6363926,0.061162624788673015,5
hHep,mDC,native,baseline,mlp,0.638122,0.03614420474156267,0.655782,0.029347782832779744,5
hHep,mDC,native,minus,lr,0.49925959999999997,0.024603422864308933,0.5635104,0.01694739926478394,5
hHep,mDC,native,minus,mlp,0.5948946,0.033840760881516836,0.6406016,0.023546781135433337,5
hHep,mDC,native,scGPT_human,lr,0.505312,0.0430399450231991,0.5772916,0.032824000448452316,5
hHep,mDC,native,scGPT_human,mlp,0.5992178,0.03830214591064058,0.6429298,0.0341852732468237,5
hHep,mDC,strict,baseline,lr,0.6420002,0.031883792869732405,0.8278194,0.016215798575463392,5
hHep,mDC,strict,baseline,mlp,0.7232988,0.02116605037695982,0.8686886,0.011566218683735828,5
hHep,mDC,strict,minus,lr,0.847247,0.014938256712213792,0.9303396,0.009812320797854103,5
hHep,mDC,strict,minus,mlp,0.7963636,0.011964852955218444,0.9013668,0.005714425514432771,5
hHep,mDC,strict,scGPT_human,lr,0.7765972,0.055712304347962496,0.8915912,0.025566989994131095,5
hHep,mDC,strict,scGPT_human,mlp,0.8235326,0.02270461816987903,0.9146824,0.010998978054346673,5
hHep,mHSC-E,coverage_matched,baseline,lr,0.713094,0.011409207772672047,0.7259992,0.011357970195417826,5
hHep,mHSC-E,coverage_matched,baseline,mlp,0.718692,0.031442713578824596,0.7468134,0.025451744950788713,5
hHep,mHSC-E,coverage_matched,minus,lr,0.743107,0.012048735751106841,0.7728926,0.013455830180260153,5
hHep,mHSC-E,coverage_matched,minus,mlp,0.7506398,0.01085096232414437,0.7568528,0.014169905481689008,5
hHep,mHSC-E,coverage_matched,scGPT_human,lr,0.7312178,0.007723545905864733,0.7580774,0.009358282953619224,5
hHep,mHSC-E,coverage_matched,scGPT_human,mlp,0.7231342000000001,0.035643581679735824,0.7484748,0.03620894555437924,5
hHep,mHSC-E,native,baseline,lr,0.6259281999999999,0.01968001313414195,0.6640262,0.02111355705133554,5
hHep,mHSC-E,native,baseline,mlp,0.7025934,0.018056651036114087,0.7293878,0.017807692353586962,5
hHep,mHSC-E,native,minus,lr,0.63514,0.025091921185911602,0.6325774,0.026609531394596174,5
hHep,mHSC-E,native,minus,mlp,0.7171044,0.008069545627852908,0.7269052,0.008693917791191745,5
hHep,mHSC-E,native,scGPT_human,lr,0.6452824,0.006218296313299978,0.6644748,0.009082304209835768,5
hHep,mHSC-E,native,scGPT_human,mlp,0.7301714,0.006645074795666364,0.7450644,0.0042184434854576035,5
hHep,mHSC-E,strict,baseline,lr,0.8355144,0.004143088780125258,0.8414302,0.007519774874289775,5
hHep,mHSC-E,strict,baseline,mlp,0.8116944,0.021182470012725153,0.8273262,0.012778209536550875,5
hHep,mHSC-E,strict,minus,lr,0.8688954,0.008932068486078696,0.876973,0.007695181427360857,5
hHep,mHSC-E,strict,minus,mlp,0.8429260000000001,0.026188293881045398,0.8572256,0.024740197021042486,5
hHep,mHSC-E,strict,scGPT_human,lr,0.831583,0.006840111168687229,0.8439824,0.004259743400722629,5
hHep,mHSC-E,strict,scGPT_human,mlp,0.8430708,0.005884571195932629,0.8520340000000001,0.003144449331759055,5
hHep,mHSC-GM,coverage_matched,baseline,lr,0.7126828,0.011941431847144655,0.7259987999999999,0.009171376503011967,5
hHep,mHSC-GM,coverage_matched,baseline,mlp,0.6702656,0.07583678689818023,0.6972824,0.06686364528082503,5
hHep,mHSC-GM,coverage_matched,minus,lr,0.5887354,0.018270282653533285,0.6352318,0.01674700152743769,5
hHep,mHSC-GM,coverage_matched,minus,mlp,0.5948284,0.030942205135381026,0.6311398,0.0338718968727764,5
hHep,mHSC-GM,coverage_matched,scGPT_human,lr,0.6712562,0.015895619187688163,0.6817176,0.01951445669856068,5
hHep,mHSC-GM,coverage_matched,scGPT_human,mlp,0.686415,0.03604664801614709,0.6874011999999999,0.04342236386656076,5
hHep,mHSC-GM,native,baseline,lr,0.6641686,0.015636896579564605,0.6488334,0.012995263115458644,5
hHep,mHSC-GM,native,baseline,mlp,0.7528092,0.00909353465710666,0.7306898,0.01683420305687206,5
hHep,mHSC-GM,native,minus,lr,0.6680824,0.01684696005337463,0.655388,0.015981375998330057,5
hHep,mHSC-GM,native,minus,mlp,0.7329754,0.004423595216563121,0.7143264,0.004009102323463432,5
hHep,mHSC-GM,native,scGPT_human,lr,0.6813494,0.013237331885240296,0.691816,0.01172465469001112,5
hHep,mHSC-GM,native,scGPT_human,mlp,0.7442816,0.007543661567170162,0.7453538,0.012112679429424336,5
hHep,mHSC-GM,strict,baseline,lr,0.7508144,0.02965881171321604,0.4384358,0.03133602851287956,5
hHep,mHSC-GM,strict,baseline,mlp,0.7047788,0.0658354351680005,0.4112626,0.08268030279963905,5
hHep,mHSC-GM,strict,minus,lr,0.6589192,0.024488102910597213,0.4035272,0.034300194783120394,5
hHep,mHSC-GM,strict,minus,mlp,0.6812518,0.028316568121154784,0.4261774,0.041317255216676736,5
hHep,mHSC-GM,strict,scGPT_human,lr,0.6432664,0.017814645296496928,0.3470242,0.015198218466649309,5
hHep,mHSC-GM,strict,scGPT_human,mlp,0.6363292,0.0374733810131939,0.3383254,0.03458498848113151,5
hHep,mHSC-L,coverage_matched,baseline,lr,0.604453,0.015368945533119707,0.5749272,0.013248699534671322,5
hHep,mHSC-L,coverage_matched,baseline,mlp,0.6177876,0.01189100950466359,0.5979842,0.015504759777565092,5
hHep,mHSC-L,coverage_matched,minus,lr,0.6505026,0.01910630338500884,0.6196708,0.022790591176184937,5
hHep,mHSC-L,coverage_matched,minus,mlp,0.6175956,0.03921127833978383,0.5875522,0.03492145327674668,5
hHep,mHSC-L,coverage_matched,scGPT_human,lr,0.6302984,0.014715396570938878,0.5821,0.019370674515875794,5
hHep,mHSC-L,coverage_matched,scGPT_human,mlp,0.6144734,0.036964870548129886,0.5762214,0.038219052204888616,5
hHep,mHSC-L,native,baseline,lr,0.6029988000000001,0.006278167133805848,0.5547032000000001,0.010619462065472077,5
hHep,mHSC-L,native,baseline,mlp,0.6589842,0.008997298647927593,0.6001756,0.014472561163802333,5
hHep,mHSC-L,native,minus,lr,0.6281622,0.020247179807568266,0.6017471999999999,0.02078073976931524,5
hHep,mHSC-L,native,minus,mlp,0.6698504000000001,0.007141284131022934,0.6365914,0.009640352661599065,5
hHep,mHSC-L,native,scGPT_human,lr,0.626016,0.012027364948316806,0.6017042,0.014566602958823312,5
hHep,mHSC-L,native,scGPT_human,mlp,0.653325,0.009954548548276815,0.6176744,0.011712894187176791,5
