train_dataset,test_dataset,direction,protocol,side,n_genes,canonical_over_raw_ratio,mean_degree,median_degree,mean_train_node_freq,median_train_node_freq,mean_test_node_freq,median_test_node_freq,tf_proxy_fraction,pos_edge_ratio,hub_fraction
mDC,hESC,mDC->hESC,coverage_matched,train,4819,1.0,1.9533098153143806,0.0,1.5582070969080721,0.0,0.39510271840630834,0.0,0.03506951649719859,0.017760576803637934,1.0
mDC,hESC,mDC->hESC,coverage_matched,test,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
mDC,hESC,mDC->hESC,topology_matched,train,4819,1.0,1.9533098153143806,0.0,1.5582070969080721,0.0,0.39510271840630834,0.0,0.03506951649719859,0.017760576803637934,1.0
mDC,hESC,mDC->hESC,topology_matched,test,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
mDC,hHep,mDC->hHep,native,train,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,hHep,mDC->hHep,native,test,11515,1.0,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
mDC,hHep,mDC->hHep,strict,train,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
mDC,hHep,mDC->hHep,strict,test,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
mDC,hHep,mDC->hHep,coverage_matched,train,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
mDC,hHep,mDC->hHep,coverage_matched,test,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
mDC,hHep,mDC->hHep,topology_matched,train,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
mDC,hHep,mDC->hHep,topology_matched,test,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
mDC,mESC,mDC->mESC,native,train,7371,287.3888888888889,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,mESC,mDC->mESC,native,test,16749,287.3888888888889,0.7795092244313093,0.0,0.6234402053853961,0.0,0.1560690190459132,0.0,0.014806854140545705,0.006134548912084501,1.0
mDC,mESC,mDC->mESC,strict,train,5173,287.3888888888889,1.4363038855596366,0.0,1.1494297312971196,0.0,0.2868741542625169,0.0,0.02725691088343321,0.015888980734322367,1.0
mDC,mESC,mDC->mESC,strict,test,5173,287.3888888888889,0.5785810941426638,0.0,0.4616276821960178,0.0,0.11695341194664605,0.0,0.010632128358786004,0.0067222467734687,1.0
mDC,mESC,mDC->mESC,coverage_matched,train,5173,287.3888888888889,1.4363038855596366,0.0,1.1494297312971196,0.0,0.2868741542625169,0.0,0.02725691088343321,0.015888980734322367,1.0
mDC,mESC,mDC->mESC,coverage_matched,test,5173,287.3888888888889,0.5785810941426638,0.0,0.4616276821960178,0.0,0.11695341194664605,0.0,0.010632128358786004,0.0067222467734687,1.0
mDC,mESC,mDC->mESC,topology_matched,train,5173,287.3888888888889,1.4363038855596366,0.0,1.1494297312971196,0.0,0.2868741542625169,0.0,0.02725691088343321,0.015888980734322367,1.0
mDC,mESC,mDC->mESC,topology_matched,test,5173,287.3888888888889,0.5785810941426638,0.0,0.4616276821960178,0.0,0.11695341194664605,0.0,0.010632128358786004,0.0067222467734687,1.0
mDC,mHSC-E,mDC->mHSC-E,native,train,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,mHSC-E,mDC->mHSC-E,native,test,4762,1.0,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.05186896262074758,0.021338606180351535,0.0503989920201596
mDC,mHSC-E,mDC->mHSC-E,strict,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-E,mDC->mHSC-E,strict,test,2012,1.0,3.238071570576541,0.0,2.5775347912524853,0.0,0.6605367793240556,0.0,0.06461232604373758,0.02439914212302155,0.06262425447316103
mDC,mHSC-E,mDC->mHSC-E,coverage_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-E,mDC->mHSC-E,coverage_matched,test,2012,1.0,3.238071570576541,0.0,2.5775347912524853,0.0,0.6605367793240556,0.0,0.06461232604373758,0.02439914212302155,0.06262425447316103
mDC,mHSC-E,mDC->mHSC-E,topology_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-E,mDC->mHSC-E,topology_matched,test,2012,1.0,3.238071570576541,0.0,2.5775347912524853,0.0,0.6605367793240556,0.0,0.06461232604373758,0.02439914212302155,0.06262425447316103
mDC,mHSC-GM,mDC->mHSC-GM,native,train,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,mHSC-GM,mDC->mHSC-GM,native,test,4762,1.0,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.052708945821083576,0.01853976705842028,0.05081898362032759
mDC,mHSC-GM,mDC->mHSC-GM,strict,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-GM,mDC->mHSC-GM,strict,test,2012,1.0,3.9438369781312126,0.0,3.150099403578529,0.0,0.7937375745526839,0.0,0.08200795228628231,0.02384058872197554,0.08001988071570576
mDC,mHSC-GM,mDC->mHSC-GM,coverage_matched,train,2012,1.0,2.7768389662027833,0.0,2.2301192842942346,0.0,0.5467196819085487,0.0,0.04970178926441352,0.019762213320174048,1.0
mDC,mHSC-GM,mDC->mHSC-GM,coverage_matched,test,2012,1.0,3.9438369781312126,0.0,3.150099403578529,0.0,0.7937375745526839,0.0,0.08200795228628231,0.02384058872197554,0.08001988071570576
