dataset,embedding,clf,coverage,auroc,auprc
hHep_STRING_1000,scGPT_human,lr,962/1000,0.8822598978177537,0.3841896065505984
hHep_STRING_1000,scGPT_human,mlp,962/1000,0.8910591259416482,0.4912645182693615
hHep_STRING_1000,v4_bias_rec_best,lr,962/1000,0.8756748841605919,0.3927228465678622
hHep_STRING_1000,v4_bias_rec_best,mlp,962/1000,0.8928052346654141,0.44810454499140345
hHep_STRING_1000,v4_plain_best,lr,962/1000,0.879959057510859,0.35094534181468995
hHep_STRING_1000,v4_plain_best,mlp,962/1000,0.8865036578576524,0.45513858839308136
hHep_STRING_1000,v4_type_pe_best,lr,962/1000,0.8822787452808851,0.39008558181211467
hHep_STRING_1000,v4_type_pe_best,mlp,962/1000,0.9001410660125148,0.46900592430698596
mDC_Specific_500,minus,lr,387/500,0.7602678571428572,0.11958638483213666
mDC_Specific_500,minus,mlp,387/500,0.6522321428571428,0.11753476310016922
mDC_Specific_500,baseline,lr,387/500,0.7991071428571428,0.22752659291564728
mDC_Specific_500,baseline,mlp,387/500,0.828125,0.17653650505020826
mDC_Specific_500,scGPT_human,lr,387/500,0.775,0.2778470313436719
mDC_Specific_500,scGPT_human,mlp,387/500,0.7178571428571429,0.15266465319789732
mDC_Specific_500,v4_bias_rec_best,lr,387/500,0.75625,0.1448661385985896
mDC_Specific_500,v4_bias_rec_best,mlp,387/500,0.46071428571428574,0.041170500818602886
mDC_Specific_500,v4_plain_best,lr,387/500,0.8700892857142857,0.21502051714817672
mDC_Specific_500,v4_plain_best,mlp,387/500,0.7772321428571429,0.12236496870260537
mDC_Specific_500,v4_type_pe_best,lr,387/500,0.7714285714285715,0.17145217855118844
mDC_Specific_500,v4_type_pe_best,mlp,387/500,0.7058035714285714,0.07919797856390953
mDC_Specific_1000,minus,lr,803/1000,0.8228008833271993,0.3674379818988289
mDC_Specific_1000,minus,mlp,803/1000,0.7995113074060443,0.35514564159652384
mDC_Specific_1000,baseline,lr,803/1000,0.8059849507217929,0.33634187154235917
mDC_Specific_1000,baseline,mlp,803/1000,0.8624156545209175,0.4313314997098616
mDC_Specific_1000,scGPT_human,lr,803/1000,0.8125567415041098,0.3052301568396492
mDC_Specific_1000,scGPT_human,mlp,803/1000,0.8624892651208441,0.42748274535173597
mDC_Specific_1000,v4_bias_rec_best,lr,803/1000,0.7980063795853269,0.3071212767511162
mDC_Specific_1000,v4_bias_rec_best,mlp,803/1000,0.8218173639226269,0.39705985829577395
mDC_Specific_1000,v4_plain_best,lr,803/1000,0.7974215842636897,0.3040205453446456
mDC_Specific_1000,v4_plain_best,mlp,803/1000,0.8629043471148733,0.4376359337897743
mDC_Specific_1000,v4_type_pe_best,lr,803/1000,0.8180448206763997,0.3217041306357122
mDC_Specific_1000,v4_type_pe_best,mlp,803/1000,0.8346092503987241,0.39271433751713514
mDC_Non-Specific_500,minus,lr,387/500,0.7264745180377935,0.22271610419633794
mDC_Non-Specific_500,minus,mlp,387/500,0.5668066424890247,0.02130130806280417
mDC_Non-Specific_500,baseline,lr,387/500,0.7430807405993509,0.16272789869440749
mDC_Non-Specific_500,baseline,mlp,387/500,0.5151746516510785,0.01899358672476343
mDC_Non-Specific_500,scGPT_human,lr,387/500,0.6665394159190685,0.09663878288262984
mDC_Non-Specific_500,scGPT_human,mlp,387/500,0.6652987211299867,0.04881619970381392
