dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
hESC500->mHSC-E500,v4_plain_best,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.5393656555181056,0.6844954734518233
hESC500->mHSC-E500,v4_plain_best,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.5703482845043644,0.7020876492970325
hESC500->mHSC-E500,v4_type_pe_best,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.5452424163857921,0.6737806349307945
hESC500->mHSC-E500,v4_type_pe_best,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.5949356148993172,0.7028973843214574
hESC500->mHSC-GM500,minus,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.49465299684542585,0.6183266554623649
hESC500->mHSC-GM500,minus,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.5229574132492114,0.6231123439247863
hESC500->mHSC-GM500,baseline,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.5370662460567823,0.6269379103654391
hESC500->mHSC-GM500,baseline,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.5858675078864354,0.701482714855113
hESC500->mHSC-GM500,scGPT_human,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.5714195583596214,0.6755000556817012
hESC500->mHSC-GM500,scGPT_human,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.5584384858044165,0.6609250860135468
hESC500->mHSC-GM500,v4_bias_rec_best,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.5715930599369085,0.692004155188427
hESC500->mHSC-GM500,v4_bias_rec_best,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.5873817034700315,0.7011356861419323
hESC500->mHSC-GM500,v4_plain_best,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.5575078864353312,0.6725092378443226
hESC500->mHSC-GM500,v4_plain_best,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.6047397476340693,0.7001469770961009
hESC500->mHSC-GM500,v4_type_pe_best,transfer,hESC500,mHSC-GM500,lr,848/910->449/500,0.5229179810725553,0.6265342444894022
hESC500->mHSC-GM500,v4_type_pe_best,transfer,hESC500,mHSC-GM500,mlp,848/910->449/500,0.5636908517350158,0.6688684080660153
hESC500->mHSC-L500,minus,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.46568407625539376,0.6091351669429843
hESC500->mHSC-L500,minus,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5073744107945429,0.6279544162805057
hESC500->mHSC-L500,baseline,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.5211914656143183,0.6251523415814053
hESC500->mHSC-L500,baseline,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5740779495151823,0.6805880266930586
hESC500->mHSC-L500,scGPT_human,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.5534096684504768,0.6608293905541469
hESC500->mHSC-L500,scGPT_human,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5645061636122655,0.6762344127340663
hESC500->mHSC-L500,v4_bias_rec_best,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.5886872552243714,0.6941214519610654
hESC500->mHSC-L500,v4_bias_rec_best,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5706747585877007,0.6860245585877232
hESC500->mHSC-L500,v4_plain_best,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.5560106430685522,0.6928815918744031
hESC500->mHSC-L500,v4_plain_best,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5582727934068781,0.6868773605314717
hESC500->mHSC-L500,v4_type_pe_best,transfer,hESC500,mHSC-L500,lr,848/910->442/500,0.49932733415049774,0.6057579945827933
hESC500->mHSC-L500,v4_type_pe_best,transfer,hESC500,mHSC-L500,mlp,848/910->442/500,0.5459605170059892,0.6458760331676408
hHep500->hESC500,minus,transfer,hHep500,hESC500,lr,487/500->848/910,0.502354485262652,0.14825485836800956
hHep500->hESC500,baseline,transfer,hHep500,hESC500,lr,487/500->848/910,0.4914569894548013,0.14429356872555843
hHep500->hESC500,scGPT_human,transfer,hHep500,hESC500,lr,487/500->848/910,0.5038069163992664,0.15344479311655185
hHep500->hESC500,v4_bias_rec_best,transfer,hHep500,hESC500,lr,487/500->848/910,0.49742860326838073,0.1501081985658548
hHep500->hESC500,v4_plain_best,transfer,hHep500,hESC500,lr,487/500->848/910,0.5124733006702944,0.18012903201741265
hHep500->hESC500,v4_type_pe_best,transfer,hHep500,hESC500,lr,487/500->848/910,0.4969132544764436,0.15363291810357785
hHep500->mESC500,minus,transfer,hHep500,mESC500,lr,487/500->937/1120,0.5116760667399569,0.317792002462437
hHep500->mESC500,baseline,transfer,hHep500,mESC500,lr,487/500->937/1120,0.5020398141891327,0.321366500680771
hHep500->mESC500,scGPT_human,transfer,hHep500,mESC500,lr,487/500->937/1120,0.5034267849467372,0.31834446081264955
hHep500->mESC500,v4_bias_rec_best,transfer,hHep500,mESC500,lr,487/500->937/1120,0.506023694218514,0.31448358793178144
hHep500->mESC500,v4_plain_best,transfer,hHep500,mESC500,lr,487/500->937/1120,0.4982721063255075,0.31073351178857506
hHep500->mESC500,v4_type_pe_best,transfer,hHep500,mESC500,lr,487/500->937/1120,0.5047646987426683,0.31042214324043266
hHep500->mHSC-E500,minus,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5506438510068273,0.6846444807823333
hHep500->mHSC-E500,baseline,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5438164376458386,0.6972707996655343
hHep500->mHSC-E500,scGPT_human,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5332944430040619,0.6850605509375931
hHep500->mHSC-E500,v4_bias_rec_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.49758015728977617,0.6320544213038093
hHep500->mHSC-E500,v4_plain_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.45047964739434787,0.5982210269704515
hHep500->mHSC-E500,v4_type_pe_best,transfer,hHep500,mHSC-E500,lr,487/500->457/500,0.5505358223144068,0.7117256628319713
hHep500->mHSC-GM500,minus,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5401892744479496,0.6243476658567035
hHep500->mHSC-GM500,baseline,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.4844794952681388,0.6097750319641748
hHep500->mHSC-GM500,scGPT_human,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5873343848580441,0.7005568204577228
hHep500->mHSC-GM500,v4_bias_rec_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5294637223974764,0.6466426416951396
hHep500->mHSC-GM500,v4_plain_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.4631861198738171,0.5817746083065739
hHep500->mHSC-GM500,v4_type_pe_best,transfer,hHep500,mHSC-GM500,lr,487/500->449/500,0.5060410094637224,0.6290567726000158
hHep500->mHSC-L500,minus,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5036672745572862,0.6115066234040984
hHep500->mHSC-L500,baseline,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.47118997080131947,0.616721822721746
hHep500->mHSC-L500,scGPT_human,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.5214804627941044,0.65313099580864
hHep500->mHSC-L500,v4_bias_rec_best,transfer,hHep500,mHSC-L500,lr,487/500->442/500,0.4859039134204311,0.6041129443171906
